Step	Loss	Loss per Cell	 Change 
51	59697922048.0	7843637.110497964	114596.51136512961
52	58844282880.0	7731478.502167915	112158.60833004862
53	57996554240.0	7620096.470897385	111382.03127053007
54	57161908224.0	7510433.349625542	109663.12127184309
55	56334237696.0	7401686.729207725	108746.62041781656
56	55526756352.0	7295592.741032716	106093.98817500938
57	54724874240.0	7190234.429115754	105358.31191696227
58	53941051392.0	7087248.901852582	102985.52726317197
59	53159555072.0	6984569.054263566	102679.84758901596
60	52386770944.0	6883033.890947313	101535.16331625264
61	51637014528.0	6784524.310603075	98509.58034423832
62	50903445504.0	6688141.571935357	96382.73866771813
63	50182852608.0	6593463.750886874	94677.82104848232
64	49457164288.0	6498116.448298516	95347.30258835852
65	48765571072.0	6407248.859808172	90867.58849034365
66	48078852096.0	6317021.691761924	90227.16804624815
67	47402962944.0	6228217.441072132	88804.25068979152
68	46743945216.0	6141629.906188412	86587.5348837208
69	46096257024.0	6056530.945210879	85098.9609775329
70	45460135936.0	5972951.771909079	83579.17330180015
71	44826263552.0	5889668.053081067	83283.7188280113
72	44203655168.0	5807864.297464197	81803.75561687071
73	43571707904.0	5724833.51780318	83030.77966101654
74	42972286976.0	5646076.3337274995	78757.18407568056
75	42374561792.0	5567541.951386152	78534.38234134763
76	41791631360.0	5490951.433451584	76590.51793456823
77	41212502016.0	5414860.33582972	76091.09762186371
78	40630022144.0	5338329.016423597	76531.3194061229
79	40071376896.0	5264929.299172251	73399.71725134645
80	39532126208.0	5194077.80948627	70851.4896859806
81	38995251200.0	5123538.457495729	70539.35199054051
82	38466580480.0	5054077.056891342	69461.40060438775
83	37946048512.0	4985684.9969780585	68392.05991328321
84	37446713344.0	4920077.958743923	65607.03823413514
85	36944510976.0	4854094.202601498	65983.75614242535
86	36441997312.0	4788069.545657601	66024.65694389679
87	35954102272.0	4723965.611877546	64103.93378005549
88	35466489856.0	4659898.8117198795	64066.800157666206
89	34984304640.0	4596545.084745763	63353.72697411664
90	34510958592.0	4534352.725266063	62192.359479700215
91	34048206848.0	4473552.338457496	60800.38680856675
92	33593253888.0	4413776.62435948	59775.7140980158
93	33138282496.0	4353998.488503482	59778.13585599791
94	32692205568.0	4295388.985415845	58609.503087637015
95	32256710656.0	4238169.840494022	57219.144921823405
96	31822084096.0	4181064.7872815663	57105.053212455474
97	31392299008.0	4124595.8491656813	56468.938115885016
98	30968860672.0	4068960.8030482195	55635.04611746175
99	30565140480.0	4015916.499802917	53044.303245302755
100	30158772224.0	3962524.2706608856	53392.22914203117
101	29761409024.0	3910315.204835107	52209.065825778525
102	29367017472.0	3858496.5802128497	51818.62462225743
103	28986189824.0	3808460.1003810274	50036.47983182222
104	28602107904.0	3757996.0457232953	50464.05465773214
105	28224188416.0	3708341.6654841676	49654.38023912767
106	27850477568.0	3659240.2533175666	49101.41216660105
107	27486603264.0	3611431.252660623	47809.00065694377
108	27133702144.0	3565064.005255551	46367.24740507174
109	26781521920.0	3518791.4754959927	46272.52975955838
110	26426357760.0	3472126.8900275915	46664.5854684012
111	26078001152.0	3426356.740507161	45770.149520430714
112	25740421120.0	3382002.512153462	44354.22835369874
113	25406451712.0	3338122.6792799896	43879.83287347248
114	25078695936.0	3295059.247930627	43063.43134936271
115	24760375296.0	3253235.48758376	41823.76034686668
116	24440827904.0	3211250.5457889894	41984.94179477077
117	24135084032.0	3171079.231638418	40171.31415057136
118	23829952512.0	3130988.3736696886	40090.857968729455
119	23530506240.0	3091644.4934962555	39343.88017343311
120	23236096000.0	3052962.2914203126	38682.202075942885
121	22942474240.0	3014383.6867691497	38578.60465116287
122	22654445568.0	2976539.951123374	37843.73564577568
123	22366889984.0	2938758.3739324664	37781.57719090767
124	22082990080.0	2901457.112074629	37301.26185783744
125	21805178880.0	2864955.8376034684	36501.27447116049
126	21527818240.0	2828513.761660754	36442.07594271423
127	21254414336.0	2792591.5564314807	35922.20522927353
128	20984492032.0	2757126.79437656	35464.76205492066
129	20724459520.0	2722961.440021022	34165.3543555378
130	20467165184.0	2689155.8512679017	33805.58875312051
131	20211212288.0	2655526.512679017	33629.338588884566
132	19957962752.0	2622252.365260807	33274.14741821028
133	19711129600.0	2589821.258704507	32431.106556300074
134	19468285952.0	2557914.328209171	31906.93049533572
135	19227224064.0	2526241.5009854157	31672.82722375542
136	18990817280.0	2495180.3021941925	31061.198791223112
137	18756749312.0	2464426.3975824467	30753.90461174585
138	18525472768.0	2434039.2547628433	30387.14281960344
139	18297798656.0	2404125.4310865854	29913.82367625786
140	18071205888.0	2374353.683878597	29771.74720798852
141	17851172864.0	2345443.813427933	28909.870450663846
142	17634578432.0	2316985.7353829984	28458.078044934664
143	17417107456.0	2288412.4892918146	28573.24609118374
144	17206286336.0	2260712.959663645	27699.529628169723
145	17001411584.0	2233794.7160688476	26918.243594797328
146	16798974976.0	2207196.817238208	26597.898830639664
147	16596408320.0	2180581.831559585	26614.985678622965
148	16396294144.0	2154289.0742346602	26292.757324924693
149	16199249920.0	2128399.674155827	25889.400078833103
150	16007302144.0	2103179.8901589806	25219.783996846527
151	15817989120.0	2078306.2830114309	24873.607147549745
152	15631078400.0	2053748.3116541847	24557.971357246162
153	15446893568.0	2029548.491394035	24199.82026014966
154	15265957888.0	2005775.5732492446	23772.918144790456
155	15085392896.0	1982051.3593483116	23724.213900933042
156	14904547328.0	1958290.2809092104	23761.07843910111
157	14724802560.0	1934673.8352384707	23616.445670739748
158	14548094976.0	1911456.441466299	23217.39377217181
159	14372512768.0	1888386.909473131	23069.53199316794
160	14203027456.0	1866118.4412035213	22268.468269609613
161	14034833408.0	1844019.6305347523	22098.81066876906
162	13870061568.0	1822370.4595979503	21649.170936801936
163	13705515008.0	1800750.887925371	21619.571672579274
164	13543617536.0	1779479.3766916306	21271.511233740486
165	13384454144.0	1758567.092891867	20912.283799763536
166	13227102208.0	1737892.8140848773	20674.27880698978
167	13068867584.0	1717102.5599789778	20790.254105899483
168	12913930240.0	1696745.5314676126	20357.028511365177
169	12762481664.0	1676846.887925371	19898.643542241538
170	12613720064.0	1657301.282880042	19545.60504532908
171	12466420736.0	1637947.803967941	19353.478912100894
172	12321634304.0	1618924.491394035	19023.312573906034
173	12179781632.0	1600286.6419655762	18637.849428458838
