Step	Loss	Loss per Cell	 Change 
53	2125059456.0	280276.9000263783	1961.1247691901517
45	2011975552.0	275160.7702407002	1827.5886214441853
42	2280426496.0	299347.13783145184	2072.5985823050723
54	2110307712.0	278331.2730150356	1945.6270113426726
15	3061131776.0	163443.41801484328	1298.3159805649193
46	1998715520.0	273347.30853391683	1813.4617067833897
55	2095671040.0	276400.8230018465	1930.450013189111
43	2264773120.0	297292.3496980835	2054.7881333683617
47	1985558400.0	271547.92122538295	1799.3873085338855
56	2081145216.0	274484.99287786864	1915.830123977852
44	2249250560.0	295254.73352585983	2037.616172223643
48	1972509696.0	269763.36105032824	1784.5601750547066
16	3037393152.0	162175.93849111005	1267.4795237332291
57	2066729472.0	272583.68135056715	1901.3115273014992
45	2233852928.0	293233.51640850614	2021.2171173536917
49	1959568384.0	267993.48796498904	1769.8730853392044
58	2052428672.0	270697.52993933	1886.151411237137
46	2218572544.0	291227.6902074035	2005.8262011026382
50	1946737152.0	266238.6695842451	1754.8183807439636
59	2038244864.0	268826.8087575837	1870.7211817462812
17	3014172672.0	160936.12429921512	1239.814191894926
47	2203406848.0	289236.9188763455	1990.7713310580002
51	1934009856.0	264498.06564551423	1740.603938730841
60	2024185472.0	266972.4969664996	1854.3117910841247
48	2188354048.0	287260.96718298766	1975.9516933578416
52	1921388032.0	262771.886214442	1726.1794310722034
61	2010246912.0	265134.1218675811	1838.3750989185064
49	2173417472.0	285300.2719873983	1960.6951955893892
18	2991406592.0	159720.57194724758	1215.552351967548
53	1908870016.0	261059.9037199125	1711.9824945295404
62	1996429824.0	263311.7678712741	1822.353996307007
50	2158598400.0	283355.0013126805	1945.2706747177872
54	1896456832.0	259362.2582056893	1697.6455142232007
63	1982727808.0	261504.59087312056	1807.1769981535326
51	2143901568.0	281425.7768443161	1929.2244683643803
55	1884147584.0	257678.8271334792	1683.4310722100781
19	2969052928.0	158527.03977788455	1193.5321693630249
64	1969128448.0	259710.95331047216	1793.6375626483932
56	1871935616.0	256008.70021881838	1670.1269146608247
52	2129327104.0	279512.6153846154	1913.1614597007283
65	1955631872.0	257930.8720654181	1780.0812450540543
57	1859820160.0	254351.77242888403	1656.9277899343579
53	2114865920.0	277614.32396954583	1898.2914150695433
66	1942234752.0	256163.9082036402	1766.9638617779128
20	2947069952.0	157353.2998024454	1173.7399754391517
58	1847796864.0	252707.44857768054	1644.3238512034877
54	2100527872.0	275732.1963770018	1882.1275925440132
67	1928942080.0	254410.72012661566	1753.1880770245334
59	1835868032.0	251076.04376367613	1631.4048140044033
55	2086307328.0	273865.49330532947	1866.703071672353
68	1915757824.0	252671.8311791084	1738.8889475072501
60	1824033664.0	249457.5579868709	1618.4857768052316
21	2925423872.0	156197.54776015805	1155.7520422873495
56	2072203776.0	272014.1475452875	1851.3457600419642
69	1902679552.0	250946.9206014244	1724.9105776840006
61	1812294656.0	247852.11378555797	1605.44420131293
70	1889709824.0	249236.32603534686	1710.594566077547
57	2058214272.0	270177.77264373854	1836.3749015489593
62	1800654592.0	246260.20131291027	1591.912472647702
71	1876846848.0	247539.81113162753	1696.5149037193332
58	2044338304.0	268356.3013914413	1821.4712522972259
22	2904074752.0	155057.65134283731	1139.896417320735
63	1789110528.0	244681.41794310723	1578.7833698030445
72	1864091392.0	245857.47718280138	1682.3339488261554
59	2030576768.0	266549.8514045681	1806.4499868731946
64	1777663872.0	243115.95623632387	1565.4617067833606
73	1851448832.0	244190.03323661303	1667.4439461883449
60	2016930560.0	264758.54029929114	1791.3111052769818
65	1766307200.0	241562.80087527353	1553.1553610503324
23	2883004416.0	153932.6400768861	1125.0112659512088
74	1838913536.0	242536.73648113955	1653.2967554734787
61	2003398528.0	262982.2168548175	1776.3234444736154
66	1755037568.0	240021.54923413566	1541.2516411378747
75	1826483200.0	240897.28303877605	1639.453442363505
67	1743850624.0	238491.60612691467	1529.9431072209845
62	1989978240.0	261220.56182725125	1761.655027566274
76	1814154624.0	239271.25085729358	1626.032181482471
24	2862200576.0	152821.85786747825	1110.7822094078583
68	1732746624.0	236973.0065645514	1518.5995623632625
63	1976672512.0	259473.94486741928	1746.6169598319684
77	1801924864.0	237658.2516486415	1612.9992086520651
69	1721728640.0	235466.170678337	1506.8358862144232
64	1963474432.0	257741.45865056445	1732.486216854828
78	1789793024.0	236058.16723819572	1600.0844104457938
70	1710799488.0	233971.48358862146	1494.6870897155313
25	2841651968.0	151724.70329435635	1097.154573121894
65	1950384000.0	256023.1031766868	1718.3554738776584
79	1777758720.0	234470.94697968874	1587.2202585069754
71	1699961216.0	232489.22538293217	1482.2582056892861
80	1765821184.0	232896.4895805856	1574.4573991031502
66	1937394560.0	254318.00472564978	1705.098451037018
72	1689217408.0	231019.88621444203	1469.3391684901435
81	1753985152.0	231335.41967818516	1561.069902400428
26	2821348864.0	150640.65694911635	1084.04634524
67	1924506624.0	252626.23050669467	1691.7742189551063
73	1678569728.0	229563.69365426697	1456.1925601750554
82	1742247808.0	229787.36586652597	1548.0538116591924
68	1911723264.0	250948.1837752691	1678.0467314255657
74	1668014080.0	228120.0875273523	1443.606126914674
83	1730609408.0	228252.36190978633	1535.0039567396452
69	1899042432.0	249283.595694408	1664.588080861111
75	1657547392.0	226688.647702407	1431.4398249452934
27	2801275648.0	149568.88504458326	1071.7719045330887
84	1719062144.0	226729.37800052756	1522.9839092587645
70	1886463104.0	247632.33184562877	1651.2638487792283
76	1647166336.0	225268.9190371991	1419.728665207891
85	1707604864.0	225218.26219994723	1511.11580058033
71	1873980160.0	245993.72013651876	1638.6117091100023
77	1636870656.0	223860.86652078773	1408.0525164113787
86	1696233856.0	223718.52492745977	1499.7372724874585
28	2781420288.0	148508.74515457312	1060.1398900101485
72	1861592448.0	244367.6093462851	1626.1107902336516
78	1626657024.0	222464.03501094092	1396.8315098468156
87	1684947584.0	222229.96359799526	1488.5613294645154
73	1849299328.0	242753.9154633762	1613.693882908905
79	1616524928.0	221078.3544857768	1385.68052516412
88	1673752704.0	220753.45608018994	1476.507517805323
74	1837104896.0	241153.17616172225	1600.7393016539572
80	1606472832.0	219703.6148796499	1374.73960612691
29	2761775616.0	147459.85455710394	1048.8905974691734
89	1662648704.0	219288.93484568715	1464.521234502783
75	1825008768.0	239565.34103439222	1587.835127330036
81	1596498816.0	218339.5536105033	1364.061269146594
90	1651633408.0	217836.11289897125	1452.821946715907
76	1813008512.0	237990.09083749016	1575.2501969020523
91	1640710400.0	216395.46293853864	1440.649960432609
82	1586603776.0	216986.2932166302	1353.26039387309
30	2742335744.0	146421.8988734049	1037.9556836990523
83	1576784256.0	215643.36105032824	1342.9321663019655
77	1801097216.0	236426.51824625887	1563.5725912312919
92	1629877888.0	214966.7486151411	1428.714323397522
84	1567040256.0	214310.75711159737	1332.6039387308701
78	1789272192.0	234874.27041218168	1552.2478340771922
93	1619134720.0	213549.81798997626	1416.9306251648522
31	2723094528.0	145394.55005606278	1027.3488173421065
85	1557370624.0	212988.3238512035	1322.433260393882
94	1608483072.0	212144.95805855974	1404.8599314165185
79	1777530112.0	233332.91047519035	1541.3599369913281
86	1547772672.0	211675.69365426697	1312.6301969365159
95	1597924480.0	210752.3714059615	1392.5866525982565
80	1765867136.0	231801.93436597532	1530.9761092150293
96	1587452800.0	209371.24769190187	1381.1237140596204
87	1538250112.0	210373.37417943106	1302.3194748359092
81	1754282880.0	230281.29167760568	1520.6426883696404
32	2704044800.0	144377.42538309575	1017.1246729670384
88	1528802688.0	209081.33041575493	1292.0437636761344
